"Label","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","112","0.0%","0.0%","0.0%","9.8%","0.0%","13.4%","40.2%","10.7%","15.2%","10.7%","97,656","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","466","26.4%","6.7%","21.0%","1.5%","2.1%","27.7%","6.0%","0.0%","2.6%","6.0%","-","52,033","","(X)","(X)","20.6%"
"Census Tract 78.06, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,026","10.3%","6.8%","12.5%","17.9%","10.8%","21.2%","8.9%","7.6%","2.7%","1.2%","36,894","52,454","","36.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","471","1.3%","3.4%","5.3%","20.4%","11.0%","29.5%","15.5%","7.6%","5.9%","0.0%","53,393","62,464","","(X)","36.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","169","0.0%","0.0%","0.0%","13.0%","18.9%","12.4%","22.5%","16.6%","16.6%","0.0%","82,250","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","555","18.0%","9.7%","18.6%","15.9%","10.6%","14.2%","3.2%","7.6%","0.0%","2.2%","26,220","43,939","","(X)","(X)","35.1%"
"Census Tract 78.07, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","863","10.2%","8.0%","16.0%","9.3%","13.4%","16.5%","8.2%","10.8%","5.9%","1.7%","38,861","71,124","","41.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","516","8.9%","6.6%","14.1%","11.8%","8.9%","21.5%","2.5%","16.3%","8.1%","1.2%","49,792","86,606","","(X)","45.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","136","0.0%","0.0%","5.1%","12.5%","7.4%","33.1%","3.7%","27.9%","10.3%","0.0%","58,281","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","347","12.1%","10.1%","19.6%","5.5%","20.2%","8.9%","16.7%","6.9%","0.0%","0.0%","35,742","42,051","","(X)","(X)","35.7%"
"Census Tract 78.08, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,453","11.1%","20.8%","11.0%","9.3%","7.6%","16.2%","5.6%","12.9%","4.8%","0.7%","33,568","53,269","","41.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","920","6.4%","22.1%","4.1%","13.9%","2.8%","14.0%","10.4%","17.5%","7.6%","1.1%","55,000","64,865","","(X)","45.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","224","5.8%","0.0%","0.0%","0.0%","0.0%","7.1%","18.3%","56.3%","8.0%","4.5%","115,667","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","533","19.1%","19.7%","22.9%","7.5%","8.4%","20.5%","0.0%","1.9%","0.0%","0.0%","16,814","30,518","","(X)","(X)","33.4%"
"Census Tract 78.09, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,147","11.0%","3.7%","14.0%","11.2%","9.2%","21.9%","21.1%","6.0%","1.0%","0.9%","51,094","53,704","","37.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","665","12.9%","0.0%","9.3%","6.9%","11.0%","21.4%","24.8%","10.4%","1.8%","1.5%","58,371","61,751","","(X)","39.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","127","0.0%","0.0%","0.0%","0.0%","10.2%","5.5%","63.0%","11.8%","9.4%","0.0%","82,379","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","482","8.3%","8.7%","20.5%","17.0%","6.8%","22.6%","16.0%","0.0%","0.0%","0.0%","32,708","40,651","","(X)","(X)","28.0%"
"Census Tract 79.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,565","14.4%","6.8%","8.2%","4.9%","7.5%","12.3%","13.6%","17.5%","9.5%","5.2%","67,122","81,257","","32.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","763","7.7%","8.1%","4.3%","3.8%","4.7%","13.8%","15.2%","22.4%","13.4%","6.6%","91,085","99,688","","(X)","39.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","323","0.0%","0.0%","0.0%","0.0%","6.5%","8.4%","14.9%","34.4%","22.6%","13.3%","124,205","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","802","20.8%","5.5%","11.8%","5.9%","10.2%","13.7%","11.0%","16.5%","2.4%","2.2%","46,719","57,521","","(X)","(X)","24.8%"
"Census Tract 79.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","800","9.6%","0.8%","2.0%","2.9%","10.0%","18.9%","16.3%","21.1%","9.9%","8.6%","85,357","98,611","","25.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","418","9.8%","1.4%","1.0%","0.0%","9.1%","13.6%","22.7%","11.5%","18.7%","12.2%","88,214","112,391","","(X)","29.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","214","0.5%","0.0%","0.0%","0.0%","4.2%","15.0%","15.4%","13.6%","27.6%","23.8%","150,395","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","382","9.4%","0.0%","3.1%","6.0%","11.0%","24.6%","9.2%","31.7%","1.3%","3.7%","67,885","82,412","","(X)","(X)","20.9%"
"Census Tract 80.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,324","1.4%","2.5%","2.8%","1.4%","5.4%","3.4%","11.7%","24.3%","22.8%","24.3%","145,641","158,649","","30.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","774","0.0%","0.0%","0.0%","2.3%","3.4%","1.8%","14.0%","18.1%","26.4%","34.1%","174,734","186,544","","(X)","31.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","605","0.0%","0.0%","0.0%","3.0%","3.1%","1.0%","5.3%","14.9%","29.3%","43.5%","190,417","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","550","3.5%","6.0%","6.7%","0.0%","8.2%","5.6%","10.2%","33.1%","16.2%","10.5%","109,352","116,026","","(X)","(X)","29.5%"
"Census Tract 80.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,552","5.0%","1.0%","5.1%","4.8%","5.8%","11.5%","8.6%","16.6%","17.1%","24.6%","114,659","146,622","","18.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","667","0.0%","0.0%","0.0%","6.4%","2.1%","5.8%","11.2%","14.8%","25.5%","34.0%","180,107","192,431","","(X)","20.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","532","0.0%","0.0%","0.0%","6.4%","1.3%","7.3%","3.6%","16.5%","23.5%","41.4%","188,125","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","885","8.7%","1.8%","8.9%","3.5%","9.4%","15.7%","5.8%","17.9%","11.6%","16.7%","87,083","111,173","","(X)","(X)","17.3%"
"Census Tract 81, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,484","0.0%","0.0%","3.6%","4.6%","3.7%","8.8%","14.9%","14.6%","10.0%","39.7%","148,333","186,498","","31.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","714","0.0%","0.0%","0.0%","1.1%","2.2%","3.6%","8.0%","11.2%","10.9%","62.9%","232,500","250,521","","(X)","33.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","658","0.0%","0.0%","0.0%","1.2%","2.4%","0.5%","7.6%","12.2%","11.9%","64.3%","245,250","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","770","0.0%","0.0%","7.0%","7.9%","5.1%","14.0%","22.2%","16.4%","10.0%","17.4%","79,746","120,870","","(X)","(X)","28.1%"
"Census Tract 82, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,348","0.5%","2.2%","2.0%","3.9%","5.0%","7.9%","13.2%","26.6%","12.2%","26.6%","130,969","176,187","","22.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","566","0.0%","0.0%","0.0%","0.0%","0.0%","2.8%","15.0%","29.2%","13.3%","39.8%","171,042","223,439","","(X)","21.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","475","0.0%","0.0%","0.0%","0.0%","0.0%","3.4%","6.3%","33.1%","11.8%","45.5%","180,250","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","782","0.9%","3.7%","3.5%","6.6%","8.7%","11.5%","14.3%","24.9%","13.9%","11.9%","101,667","132,160","","(X)","(X)","21.4%"
"Census Tract 83.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,007","3.5%","3.1%","2.4%","1.1%","3.9%","6.2%","7.8%","22.0%","15.2%","34.9%","155,069","171,947","","28.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","452","0.0%","0.0%","0.0%","2.4%","0.0%","2.2%","4.0%","22.3%","14.8%","54.2%","208,750","211,801","","(X)","19.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","426","0.0%","0.0%","0.0%","2.6%","0.0%","1.4%","2.3%","23.7%","12.4%","57.5%","212,167","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","555","6.3%","5.6%","4.3%","0.0%","7.0%","9.4%","11.0%","21.8%","18.0%","16.6%","108,523","134,106","","(X)","(X)","33.3%"
"Census Tract 83.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,046","2.4%","0.0%","1.1%","5.1%","4.3%","10.6%","9.8%","20.7%","16.3%","29.8%","143,611","165,570","","27.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","458","0.0%","0.0%","0.0%","2.6%","2.6%","5.9%","2.6%","13.1%","33.2%","40.0%","185,556","206,533","","(X)","20.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","393","0.0%","0.0%","0.0%","0.0%","3.1%","2.3%","3.1%","11.2%","36.4%","44.0%","189,115","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","588","4.3%","0.0%","1.9%","7.0%","5.6%","14.3%","15.5%","26.5%","6.8%","18.2%","101,607","129,077","","(X)","(X)","32.0%"
"Census Tract 84.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,171","12.6%","4.6%","6.9%","2.6%","6.9%","10.8%","13.7%","12.6%","12.6%","16.6%","81,789","111,800","","29.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","293","0.0%","0.0%","0.0%","8.2%","7.8%","2.4%","3.1%","18.8%","32.8%","27.0%","156,434","169,447","","(X)","29.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","236","0.0%","0.0%","0.0%","8.9%","0.0%","3.0%","0.0%","14.0%","40.7%","33.5%","158,707","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","878","16.7%","6.2%","9.2%","0.8%","7.5%","13.7%","16.4%","10.6%","8.3%","10.6%","64,167","87,693","","(X)","(X)","27.0%"
"Census Tract 84.10, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","570","10.0%","0.4%","1.8%","0.9%","3.3%","14.9%","6.3%","10.9%","21.8%","29.8%","153,500","154,247","","31.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","243","2.1%","0.0%","4.1%","0.0%","2.1%","15.2%","0.0%","7.0%","25.5%","44.0%","192,361","198,660","","(X)","32.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","207","0.0%","0.0%","0.0%","0.0%","0.0%","15.5%","0.0%","5.8%","30.0%","48.8%","198,958","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","327","17.4%","0.6%","0.0%","1.5%","4.3%","13.1%","11.0%","13.8%","19.0%","19.3%","106,563","120,279","","(X)","(X)","30.9%"
"Census Tract 87.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","877","1.4%","8.2%","0.0%","2.9%","1.3%","18.7%","13.1%","19.4%","17.8%","17.3%","113,224","144,930","","25.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","342","0.0%","0.0%","0.0%","8.8%","0.0%","14.3%","6.7%","24.9%","14.9%","30.4%","143,519","180,836","","(X)","22.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","191","0.0%","0.0%","0.0%","0.0%","0.0%","3.7%","4.2%","24.1%","26.7%","41.4%","183,472","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","535","2.2%","13.5%","0.0%","4.7%","2.1%","15.9%","17.2%","15.9%","19.6%","9.0%","87,232","120,157","","(X)","(X)","26.5%"
"Census Tract 87.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,495","8.7%","2.2%","3.7%","7.5%","11.1%","9.6%","19.4%","19.3%","8.6%","10.0%","79,446","98,535","","24.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","503","5.4%","3.0%","8.2%","13.1%","4.8%","6.2%","12.1%","20.7%","9.9%","16.7%","81,827","120,219","","(X)","33.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","276","0.0%","4.3%","4.0%","12.0%","1.8%","3.3%","3.6%","23.9%","18.1%","29.0%","137,143","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","992","11.1%","1.6%","1.4%","5.5%","12.9%","11.3%","24.6%","17.8%","7.9%","5.8%","78,308","86,269","","(X)","(X)","19.3%"
"Census Tract 88.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,791","9.6%","6.5%","5.1%","9.5%","11.3%","11.3%","6.4%","24.6%","8.0%","7.8%","67,176","92,180","","40.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","709","3.7%","4.8%","3.0%","13.4%","17.8%","8.3%","6.8%","20.6%","15.2%","6.5%","71,898","106,278","","(X)","43.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","353","3.1%","0.0%","0.0%","8.8%","13.6%","6.5%","10.5%","19.5%","24.9%","13.0%","108,105","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,082","14.2%","6.8%","6.5%","7.0%","9.2%","11.0%","6.2%","27.2%","3.2%","8.6%","62,639","82,371","","(X)","(X)","37.5%"
"Census Tract 88.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","683","18.3%","9.2%","10.7%","14.3%","11.3%","13.5%","9.8%","7.9%","3.1%","1.9%","32,250","49,056","","31.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","244","14.3%","13.9%","11.5%","26.6%","2.9%","9.8%","8.2%","7.4%","2.9%","2.5%","29,286","45,629","","(X)","23.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","58","0.0%","19.0%","0.0%","22.4%","0.0%","0.0%","27.6%","8.6%","12.1%","10.3%","85,781","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","439","20.5%","6.6%","10.3%","11.4%","13.7%","13.9%","10.7%","8.2%","3.2%","1.6%","35,598","50,003","","(X)","(X)","33.7%"
"Census Tract 88.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,236","6.6%","8.3%","13.5%","12.8%","13.9%","11.3%","12.2%","13.2%","4.0%","4.1%","42,750","63,928","","41.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","497","4.4%","1.4%","4.8%","19.1%","20.5%","10.9%","11.9%","17.1%","4.2%","5.6%","47,292","74,333","","(X)","48.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","105","0.0%","0.0%","0.0%","6.7%","42.9%","13.3%","0.0%","10.5%","0.0%","26.7%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","739","8.1%","13.0%","19.4%","9.5%","9.5%","11.6%","13.0%","11.6%","2.3%","2.0%","35,083","53,061","","(X)","(X)","35.5%"
"Census Tract 89.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,525","7.0%","8.0%","15.1%","12.4%","10.2%","18.5%","12.6%","14.4%","2.0%","0.0%","44,174","56,546","","31.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","598","0.0%","5.4%","39.1%","19.7%","11.0%","5.2%","16.1%","3.5%","0.0%","0.0%","26,352","41,028","","(X)","26.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","223","0.0%","0.0%","2.2%","42.2%","0.0%","3.1%","43.0%","9.4%","0.0%","0.0%","77,893","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","927","11.4%","9.7%","3.5%","7.7%","10.2%","22.5%","10.4%","21.4%","3.2%","0.0%","65,696","65,138","","(X)","(X)","30.9%"
"Census Tract 89.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,744","16.9%","9.1%","3.7%","16.6%","17.9%","15.1%","10.4%","6.4%","2.6%","1.4%","38,277","50,951","","40.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","779","11.4%","3.1%","1.9%","19.9%","17.7%","21.3%","16.4%","3.7%","2.2%","2.3%","46,094","59,559","","(X)","39.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","261","0.0%","3.8%","0.0%","23.4%","41.0%","25.3%","0.0%","0.0%","6.5%","0.0%","45,094","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","965","21.2%","13.9%","6.3%","12.8%","18.0%","10.1%","5.5%","8.5%","3.0%","0.6%","30,711","43,757","","(X)","(X)","41.2%"
"Census Tract 90, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,092","15.4%","7.5%","10.7%","6.3%","6.4%","13.3%","11.1%","12.8%","7.4%","9.1%","59,487","76,611","","30.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","715","1.5%","1.4%","1.5%","8.3%","1.5%","17.9%","14.3%","20.6%","15.9%","17.1%","115,313","123,524","","(X)","34.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","342","0.0%","0.0%","0.0%","0.0%","0.0%","14.6%","19.9%","22.2%","7.6%","35.7%","145,870","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,377","22.6%","10.7%","15.5%","5.2%","8.9%","13.5%","9.5%","9.5%","2.3%","2.3%","28,319","47,784","","(X)","(X)","26.6%"
"Census Tract 91.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,042","14.3%","7.8%","11.7%","9.4%","11.9%","15.8%","7.9%","7.2%","6.4%","7.7%","43,919","68,954","","38.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","856","4.9%","4.6%","13.1%","9.3%","10.9%","16.5%","14.7%","9.3%","3.7%","13.0%","66,750","87,383","","(X)","46.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","252","0.0%","0.0%","7.5%","9.5%","10.3%","11.1%","4.8%","15.5%","12.7%","28.6%","132,692","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,186","21.1%","10.1%","12.2%","8.7%","12.6%","15.3%","3.0%","6.6%","6.6%","3.9%","32,500","53,604","","(X)","(X)","32.7%"
"Census Tract 92.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,058","11.5%","3.1%","3.4%","3.0%","10.0%","14.5%","13.1%","13.6%","10.0%","17.7%","82,500","118,845","","30.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","406","2.7%","0.0%","1.0%","4.2%","16.3%","6.2%","10.6%","15.5%","7.6%","36.0%","132,273","171,406","","(X)","30.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","296","0.0%","0.0%","0.0%","2.0%","10.5%","3.4%","11.8%","18.2%","7.1%","47.0%","173,333","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","652","17.0%","5.1%","4.9%","2.3%","8.6%","19.6%","12.3%","12.4%","11.5%","6.3%","65,909","85,086","","(X)","(X)","27.5%"
"Census Tract 92.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,235","6.6%","9.2%","5.3%","7.9%","7.5%","13.8%","7.7%","21.2%","9.5%","11.3%","72,750","96,200","","37.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","581","2.2%","9.6%","3.3%","2.4%","0.7%","11.4%","11.2%","31.7%","7.7%","19.8%","102,477","124,249","","(X)","41.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","305","0.0%","2.3%","0.0%","4.6%","1.3%","9.5%","15.1%","22.6%","6.9%","37.7%","134,792","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","654","10.4%","15.4%","7.0%","6.3%","13.6%","16.1%","6.0%","12.8%","8.7%","3.7%","49,063","68,246","","(X)","(X)","33.2%"
"Census Tract 92.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,331","25.8%","8.3%","17.6%","4.7%","7.4%","20.2%","10.4%","1.8%","2.0%","1.7%","21,150","41,911","","38.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","617","19.0%","3.7%","14.1%","0.0%","10.4%","27.9%","15.7%","2.4%","5.5%","1.3%","60,472","55,431","","(X)","48.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","205","0.0%","11.2%","13.2%","0.0%","11.7%","0.0%","43.4%","3.9%","16.6%","0.0%","79,536","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","714","34.6%","12.2%","17.8%","8.8%","4.9%","13.6%","5.9%","1.3%","0.0%","1.0%","15,991","28,247","","(X)","(X)","28.9%"
"Census Tract 93.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,182","2.5%","3.1%","6.6%","7.9%","4.6%","13.0%","12.9%","18.8%","8.3%","22.3%","97,813","136,410","","29.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","670","1.5%","3.9%","5.1%","5.4%","2.5%","12.1%","19.0%","14.9%","9.0%","26.7%","101,250","149,967","","(X)","32.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","449","2.2%","2.4%","4.7%","0.0%","0.0%","11.6%","14.9%","14.0%","10.2%","39.9%","152,596","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","512","3.7%","2.1%","8.6%","12.9%","7.2%","14.3%","11.3%","20.3%","5.7%","13.9%","78,438","108,659","","(X)","(X)","18.2%"
"Census Tract 93.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","545","8.4%","10.8%","3.1%","8.6%","4.6%","16.1%","9.5%","12.8%","11.4%","14.5%","73,603","111,184","","32.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","301","7.0%","0.0%","5.6%","6.0%","6.3%","17.6%","10.0%","12.3%","12.0%","23.3%","90,625","144,854","","(X)","30.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","185","11.4%","0.0%","0.0%","9.7%","10.3%","7.0%","0.0%","10.8%","19.5%","31.4%","153,125","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
